Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7404    0.036    0.000    0.230    0.000 input_handler.py:95(handleInput)
        1    0.000    0.000    0.222    0.222 __init__.py:25(<module>)
        1    0.000    0.000    0.206    0.206 main.py:14(buildGameEngine)
        1    0.000    0.000    0.205    0.205 builder.py:102(buildWindow)
        1    0.019    0.019    0.205    0.205 {built-in method pygame.display.set_mode}
      503    0.002    0.000    0.200    0.000 game_states.py:140(handleSpawnEntity)
      503    0.001    0.000    0.190    0.000 resource_management_entity.py:180(spawnEntity)
        1    0.000    0.000    0.184    0.184 pkgdata.py:18(<module>)
        1    0.000    0.000    0.182    0.182 __init__.py:16(<module>)
        1    0.000    0.000    0.177    0.177 surfarray.py:61(<module>)
        1    0.000    0.000    0.177    0.177 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.175    0.175 __init__.py:106(<module>)
      503    0.007    0.000    0.166    0.000 resource_management_entity.py:208(_createEntity)
 1080/294    0.001    0.000    0.163    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
        8    0.000    0.000    0.118    0.015 __init__.py:1(<module>)
   641680    0.117    0.000    0.117    0.000 component_scene_tilemap.py:54(getImageCoordinates)
      215    0.002    0.000    0.115    0.001 <frozen importlib._bootstrap_external>:743(get_code)
   641680    0.107    0.000    0.107    0.000 component_scene_tilemap.py:57(getScreenCoordinates)
   641680    0.104    0.000    0.104    0.000 component_scene_tilemap.py:43(getImage)
      503    0.007    0.000    0.087    0.000 component_entity_behavior.py:272(createComponent)
      263    0.001    0.000    0.079    0.000 re.py:286(_compile)
      105    0.000    0.000    0.079    0.001 re.py:231(compile)
       99    0.001    0.000    0.077    0.001 sre_compile.py:557(compile)
      290    0.002    0.000    0.071    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      215    0.060    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      273    0.000    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
   106124    0.050    0.000    0.067    0.000 utility.py:76(getImage)
      273    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
   106124    0.048    0.000    0.065    0.000 utility.py:89(getImageCoordinates)
      531    0.005    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
   106124    0.046    0.000    0.064    0.000 utility.py:100(getScreenCoordinates)
     1183    0.061    0.000    0.061    0.000 {built-in method nt.stat}
     1116    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
  726/719    0.013    0.000    0.058    0.000 {built-in method builtins.__build_class__}
     1005    0.005    0.000    0.057    0.000 component_entity_behavior.py:30(__init__)
        1    0.000    0.000    0.051    0.051 requirements.py:4(<module>)
     1006    0.002    0.000    0.048    0.000 game_states.py:9(__init__)
     1006    0.038    0.000    0.047    0.000 game_states.py:42(_init_stack)
  275/268    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   410010    0.041    0.000    0.041    0.000 {method 'append' of 'list' objects}
22212/7404    0.040    0.000    0.040    0.000 input_handler.py:40(handleInput)
       99    0.000    0.000    0.038    0.000 sre_compile.py:542(_code)
       99    0.000    0.000    0.038    0.000 sre_parse.py:844(parse)
    74311    0.037    0.000    0.037    0.000 behavior_states_base.py:74(_updateFrameIndex)
    43/41    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    43/41    0.031    0.001    0.036    0.001 {built-in method _imp.create_dynamic}
   363/99    0.001    0.000    0.036    0.000 sre_parse.py:407(_parse_sub)
   965/99    0.007    0.000    0.035    0.000 sre_compile.py:64(_compile)
  513/103    0.011    0.000    0.035    0.000 sre_parse.py:470(_parse)
      502    0.006    0.000    0.035    0.000 component_entity_sprite.py:267(createComponent)
      9/8    0.000    0.000    0.035    0.004 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.035    0.006 __init__.py:35(load_module)
        2    0.000    0.000    0.033    0.016 __init__.py:3071(_call_aside)
        1    0.000    0.000    0.033    0.033 __init__.py:3088(_initialize_master_working_set)
        1    0.000    0.000    0.032    0.032 __init__.py:7(<module>)
     7404    0.015    0.000    0.029    0.000 component_scene_panorama.py:279(update)
