3
         812471 function calls (800302 primitive calls) in 77.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 __init__.py:632(__init__)
        1    0.000    0.000    0.017    0.017 utils.py:5(<module>)
        1    0.000    0.000    0.016    0.016 specifiers.py:275(Specifier)
     3579    0.006    0.000    0.016    0.000 enum.py:801(__and__)
     1828    0.003    0.000    0.015    0.000 random.py:216(randint)
     1254    0.001    0.000    0.013    0.000 version.py:74(__init__)
     4562    0.012    0.000    0.013    0.000 render.py:319(renderChangedUpperTile)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:850(set_data)
        1    0.006    0.006    0.012    0.012 <frozen importlib._bootstrap_external>:106(_write_atomic)
     1828    0.006    0.000    0.012    0.000 random.py:172(randrange)
     1254    0.004    0.000    0.012    0.000 version.py:131(_legacy_cmpkey)
     7665    0.004    0.000    0.012    0.000 enum.py:265(__call__)
    11918    0.005    0.000    0.012    0.000 sre_parse.py:253(get)
      103    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      101    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        1    0.000    0.000    0.011    0.011 pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.011    0.011 zipfile.py:5(<module>)
      101    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.010    0.010 game.py:1(<module>)
        1    0.000    0.000    0.010    0.010 platform.py:10(<module>)
      331    0.001    0.000    0.010    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.009    0.009 shutil.py:5(<module>)
        1    0.000    0.000    0.009    0.009 header.py:5(<module>)
        1    0.000    0.000    0.009    0.009 game_level.py:1(<module>)
        1    0.000    0.000    0.009    0.009 version.py:4(<module>)
      109    0.008    0.000    0.008    0.000 {method 'blit' of 'pygame.Surface' objects}
      331    0.006    0.000    0.008    0.000 sre_compile.py:250(_optimize_charset)
        2    0.000    0.000    0.008    0.004 render.py:346(renderAllPanorama)
    13263    0.008    0.000    0.008    0.000 sre_parse.py:232(__next)
        9    0.000    0.000    0.007    0.001 __init__.py:302(loads)
        9    0.000    0.000    0.007    0.001 decoder.py:334(decode)
        9    0.007    0.001    0.007    0.001 decoder.py:345(raw_decode)
      180    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.007    0.007 event.py:199(runSong)
      2/1    0.000    0.000    0.007    0.007 sound.py:40(playSong)
        1    0.000    0.000    0.007    0.007 version.py:191(Version)
        1    0.000    0.000    0.007    0.007 __init__.py:9(<module>)
     1828    0.004    0.000    0.007    0.000 random.py:222(_randbelow)
      165    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     3946    0.004    0.000    0.007    0.000 version.py:114(_parse_version_parts)
23564/23112    0.006    0.000    0.006    0.000 {built-in method builtins.len}
     7658    0.006    0.000    0.006    0.000 enum.py:515(__new__)
        3    0.000    0.000    0.006    0.002 sound.py:20(loadSong)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:735(source_to_code)
        1    0.006    0.006    0.006    0.006 {built-in method builtins.compile}
       12    0.000    0.000    0.005    0.000 pyparsing.py:4210(__init__)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
      471    0.001    0.000    0.005    0.000 pyparsing.py:1144(copy)
    36/11    0.000    0.000    0.005    0.000 pyparsing.py:3702(leaveWhitespace)
        1    0.005    0.005    0.005    0.005 {built-in method nt.replace}
        1    0.000    0.000    0.005    0.005 setup.py:1(<module>)
        1    0.000    0.000    0.005    0.005 plistlib.py:47(<module>)
     4562    0.005    0.000    0.005    0.000 render.py:576(renderChangedActors)
      103    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
       31    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
        9    0.000    0.000    0.005    0.001 __init__.py:357(namedtuple)
      471    0.001    0.000    0.005    0.000 copy.py:66(copy)
      102    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.004    0.004 quoprimime.py:27(<module>)
        1    0.000    0.000    0.004    0.004 appdirs.py:9(<module>)
    61/11    0.000    0.000    0.004    0.000 pyparsing.py:3247(leaveWhitespace)
   131/65    0.000    0.000    0.004    0.000 pyparsing.py:3322(copy)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
     1443    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
 1427/608    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
15289/15288    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
       24    0.000    0.000    0.004    0.000 pyparsing.py:1227(setParseAction)
       26    0.000    0.000    0.004    0.000 pyparsing.py:1016(_trim_arity)
       25    0.000    0.000    0.004    0.000 pyparsing.py:1024(extract_stack)
      152    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1266    0.001    0.000    0.004    0.000 version.py:198(__init__)
       25    0.000    0.000    0.004    0.000 traceback.py:196(extract_stack)
       25    0.000    0.000    0.004    0.000 traceback.py:313(extract)
       13    0.000    0.000    0.003    0.000 pyparsing.py:2612(__init__)
        1    0.000    0.000    0.003    0.003 string.py:15(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
        1    0.000    0.000    0.003    0.003 string.py:65(__init__)
     3794    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3324(<listcomp>)
     9238    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 database.py:1(<module>)
     3338    0.002    0.000    0.003    0.000 version.py:65(_compare)
      632    0.001    0.000    0.003    0.000 ntpath.py:222(splitext)
        4    0.000    0.000    0.003    0.001 __init__.py:1(<module>)
       61    0.000    0.000    0.003    0.000 pyparsing.py:3251(<listcomp>)
      147    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
      204    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.002    0.002 __init__.py:23(<module>)
     9131    0.002    0.000    0.002    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
     1664    0.001    0.000    0.002    0.000 version.py:47(__lt__)
        6    0.000    0.000    0.002    0.000 enum.py:602(_convert)
       83    0.000    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
     1674    0.001    0.000    0.002    0.000 version.py:53(__eq__)
      168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1443    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    0.002    0.002 sound.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
