         29886883 function calls (25691561 primitive calls) in 26.698 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 specifiers.py:4(<module>)
        1    0.000    0.000    0.019    0.019 parser.py:5(<module>)
        1    0.000    0.000    0.018    0.018 feedparser.py:20(<module>)
      418    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.017    0.017 error.py:9(<module>)
      418    0.017    0.000    0.017    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.017    0.017 __init__.py:645(_build_master)
        1    0.000    0.000    0.017    0.017 __init__.py:632(__init__)
     3678    0.006    0.000    0.017    0.000 enum.py:801(__and__)
      518    0.001    0.000    0.017    0.000 __init__.py:1991(<listcomp>)
      785    0.014    0.000    0.017    0.000 wrapper.py:1469(wrapper)
        1    0.000    0.000    0.016    0.016 specifiers.py:275(Specifier)
        1    0.000    0.000    0.016    0.016 _internal.py:6(<module>)
     1054    0.002    0.000    0.016    0.000 version.py:24(parse)
        1    0.000    0.000    0.016    0.016 _policybase.py:4(<module>)
        1    0.000    0.000    0.016    0.016 GL_4_1.py:9(<module>)
        1    0.000    0.000    0.015    0.015 GL_4_0.py:9(<module>)
        1    0.000    0.000    0.015    0.015 decorators.py:5(<module>)
5634/2817    0.010    0.000    0.015    0.000 constant.py:14(__new__)
        1    0.000    0.000    0.014    0.014 __init__.py:18(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:22(_load)
        3    0.000    0.000    0.014    0.005 plugins.py:13(load)
        3    0.000    0.000    0.014    0.005 plugins.py:33(importByName)
      596    0.002    0.000    0.014    0.000 wrapper.py:199(setInputArraySize)
15652/15643    0.009    0.000    0.014    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.014    0.014 decorators.py:15(<module>)
        1    0.000    0.000    0.013    0.013 utils.py:4(<module>)
      481    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     7855    0.004    0.000    0.012    0.000 enum.py:265(__call__)
    12071    0.005    0.000    0.012    0.000 sre_parse.py:253(get)
        1    0.000    0.000    0.012    0.012 win32.py:1(<module>)
        1    0.000    0.000    0.012    0.012 GL_3_2.py:9(<module>)
        1    0.000    0.000    0.011    0.011 GL_4_2.py:9(<module>)
        1    0.000    0.000    0.011    0.011 GL_1_1.py:1(<module>)
        1    0.000    0.000    0.011    0.011 pyparsing.py:5353(pyparsing_common)
       64    0.011    0.000    0.011    0.000 {built-in method nt.listdir}
     1042    0.001    0.000    0.011    0.000 version.py:74(__init__)
      335    0.001    0.000    0.010    0.000 sre_compile.py:223(_compile_charset)
    58120    0.010    0.000    0.010    0.000 {method 'onBegin' of 'OpenGL_accelerate.errorchecker._ErrorChecker' objects}
      836    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        2    0.000    0.000    0.010    0.005 utils.py:5(<module>)
        1    0.000    0.000    0.010    0.010 GL_1_2.py:9(<module>)
       38    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
     1042    0.004    0.000    0.010    0.000 version.py:131(_legacy_cmpkey)
      119    0.000    0.000    0.010    0.000 win32.py:107(constructFunction)
      179    0.001    0.000    0.009    0.000 baseplatform.py:132(constructFunction)
     3327    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      335    0.007    0.000    0.009    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.009    0.009 images.py:14(<module>)
     1087    0.003    0.000    0.008    0.000 wrapper.py:254(setPyConverter)
    13455    0.008    0.000    0.008    0.000 sre_parse.py:232(__next)
        1    0.000    0.000    0.008    0.008 platform.py:10(<module>)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
        1    0.000    0.000    0.008    0.008 version.py:4(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
        1    0.000    0.000    0.008    0.008 GL_2_0.py:9(<module>)
      885    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.007    0.007 arraydatatype.py:1(<module>)
        1    0.000    0.000    0.007    0.007 GL_3_0.py:9(<module>)
        2    0.000    0.000    0.007    0.004 __init__.py:5(<module>)
      467    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       13    0.000    0.000    0.007    0.001 __init__.py:357(namedtuple)
      536    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      978    0.003    0.000    0.007    0.000 wrapper.py:287(setCConverter)
        1    0.000    0.000    0.007    0.007 py3k.py:4(<module>)
        1    0.000    0.000    0.006    0.006 GL_1_0.py:1(<module>)
       87    0.000    0.000    0.006    0.000 baseplatform.py:192(createBaseFunction)
        1    0.000    0.000    0.006    0.006 __init__.py:9(<module>)
        1    0.000    0.000    0.006    0.006 version.py:191(Version)
     7848    0.006    0.000    0.006    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
      185    0.001    0.000    0.006    0.000 wrapper.py:124(setOutput)
        1    0.000    0.000    0.006    0.006 socket.py:47(<module>)
        1    0.000    0.000    0.006    0.006 GL_1_0.py:9(<module>)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
       12    0.000    0.000    0.006    0.000 pyparsing.py:4210(__init__)
    36/11    0.000    0.000    0.005    0.000 pyparsing.py:3702(leaveWhitespace)
      471    0.001    0.000    0.005    0.000 pyparsing.py:1144(copy)
      306    0.000    0.000    0.005    0.000 GL_1_0.py:12(_f)
     1321    0.004    0.000    0.005    0.000 baseplatform.py:356(__init__)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        2    0.000    0.000    0.005    0.003 vboimplementation.py:1(<module>)
      846    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      418    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.005    0.005 plistlib.py:47(<module>)
     3256    0.003    0.000    0.005    0.000 version.py:114(_parse_version_parts)
       49    0.000    0.000    0.005    0.000 images.py:575(typedImageFunction)
      511    0.001    0.000    0.005    0.000 copy.py:66(copy)
        1    0.000    0.000    0.005    0.005 header.py:5(<module>)
     3381    0.005    0.000    0.005    0.000 wrapper.py:98(__setattr__)
     3327    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      756    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
        1    0.000    0.000    0.004    0.004 imaging.py:9(<module>)
   131/65    0.000    0.000    0.004    0.000 pyparsing.py:3322(copy)
    61/11    0.000    0.000    0.004    0.000 pyparsing.py:3247(leaveWhitespace)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        1    0.000    0.000    0.004    0.004 GL_1_3.py:9(<module>)
        1    0.000    0.000    0.004    0.004 GL_3_1.py:9(<module>)
       24    0.000    0.000    0.004    0.000 pyparsing.py:1227(setParseAction)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
       26    0.000    0.000    0.004    0.000 pyparsing.py:1016(_trim_arity)
       32    0.000    0.000    0.004    0.000 baseplatform.py:379(load)
 1453/626    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pointers.py:18(<module>)
       38    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1070    0.001    0.000    0.004    0.000 version.py:198(__init__)
       25    0.000    0.000    0.004    0.000 pyparsing.py:1024(extract_stack)
        1    0.000    0.000    0.004    0.004 separate_shader_objects.py:84(<module>)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
       25    0.000    0.000    0.004    0.000 traceback.py:196(extract_stack)
      836    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
       25    0.000    0.000    0.004    0.000 traceback.py:313(extract)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3324(<listcomp>)
        6    0.003    0.000    0.003    0.001 baseplatform.py:400(__call__)
       56    0.000    0.000    0.003    0.000 baseplatform.py:373(__nonzero__)
       13    0.000    0.000    0.003    0.000 pyparsing.py:2612(__init__)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
        1    0.000    0.000    0.003    0.003 GL_3_0.py:1(<module>)
      467    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
     3855    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.003    0.003 string.py:15(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 string.py:65(__init__)
        1    0.000    0.000    0.003    0.003 GL_1_4.py:9(<module>)
       61    0.000    0.000    0.003    0.000 pyparsing.py:3251(<listcomp>)
        1    0.000    0.000    0.003    0.003 debug.py:118(<module>)
      153    0.000    0.000    0.003    0.000 baseplatform.py:96(functionTypeFor)
        1    0.000    0.000    0.003    0.003 __init__.py:88(<module>)
      146    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
      157    0.000    0.000    0.003    0.000 __init__.py:358(__getattr__)
        1    0.000    0.000    0.003    0.003 GL_1_2_images.py:9(<module>)
      179    0.000    0.000    0.003    0.000 __init__.py:111(WINFUNCTYPE)
     1453    0.003    0.000    0.003    0.000 {method 'tick' of 'Clock' objects}
      530    0.001    0.000    0.003    0.000 ntpath.py:222(splitext)
      157    0.003    0.000    0.003    0.000 __init__.py:365(__getitem__)
       48    0.000    0.000    0.002    0.000 images.py:514(setImageInput)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 GL_3_3.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 GL_2_0.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sampler_objects.py:38(<module>)
        1    0.000    0.000    0.002    0.002 GL_4_1.py:1(<module>)
